preprocessing,seed,epsilon,n_train,n_test,n_features,adult_rows,protected_attribute_in_X,estimator,constraint,randomized_prediction_metric,implementation,error,accuracy,hard_accuracy,paper_dp_violation,fairlearn_dpd,n_predictors,n_oracle_calls,best_gap,status,warning
preserve_missing,3,0.1,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.14773089127218292,0.8522691087278171,0.8523462451887642,0.0995057838906996,0.14996710265724655,2,32,0.0,ok,
preserve_missing,3,0.1,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.14772300353656467,0.8522769964634354,0.8523462451887642,0.09932672547192811,0.1495978844105903,2,24,1.3877787807814457e-15,ok,
preserve_missing,4,0.001,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16418995977345302,0.8358100402265469,0.8358856768487429,0.0023733160408281606,0.0038798070481443625,2,23,0.00051070354848054,ok,
preserve_missing,4,0.001,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.164044680076134,0.8359553199238661,0.8359675702235689,0.002467276750994646,0.0037567906869683254,2,23,0.0005453091938483756,ok,
preserve_missing,4,0.0031622776601683794,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.1636015778921684,0.8363984221078316,0.8358856768487429,0.004382375641369812,0.0038798070481443625,2,23,0.0,ok,
preserve_missing,4,0.0031622776601683794,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16368058498453633,0.8363194150154637,0.8358856768487429,0.004125628368538414,0.0038798070481443625,2,23,2.7755575615628914e-17,ok,
preserve_missing,4,0.01,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16178181563659658,0.8382181843634035,0.8402260257145197,0.010879509496337675,0.027070832169821174,2,23,4.829470157119431e-15,ok,
preserve_missing,4,0.01,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16180583443397137,0.8381941655660287,0.8402260257145197,0.01079407515831321,0.027070832169821174,2,23,0.0,ok,
preserve_missing,4,0.03162277660168379,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.15669562307264642,0.8433043769273536,0.8433379739579068,0.03135082268132397,0.047316848015847346,2,23,2.7755575615628914e-17,ok,
preserve_missing,4,0.03162277660168379,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.15659600499337945,0.8434039950066206,0.8434198673327328,0.03159328439619716,0.04756182596783168,2,23,0.0,ok,
preserve_missing,4,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.14622696189029255,0.8537730381097075,0.8539841126852837,0.0974440643332384,0.15315021635751147,2,28,0.0,ok,
preserve_missing,4,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.14622401510581995,0.85377598489418,0.8539841126852837,0.09750702445534055,0.15315021635751147,2,28,0.0,ok,
preserve_missing,5,0.001,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16281843313876565,0.8371815668612343,0.8397346654655639,0.004350988404143358,0.017447964638274943,2,23,2.1140192432794747e-05,ok,
preserve_missing,5,0.001,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16280788314453276,0.8371921168554672,0.8397346654655639,0.004372294487946404,0.017447964638274943,2,23,2.114019243315557e-05,ok,
preserve_missing,5,0.0031622776601683794,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.1621399479350767,0.8378600520649233,0.8397346654655639,0.006289319610630173,0.017447964638274943,2,23,2.0842974327722752e-05,ok,
preserve_missing,5,0.0031622776601683794,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16213008910435858,0.8378699108956414,0.8397346654655639,0.006304342816433495,0.017447964638274943,2,23,2.1368715245273506e-05,ok,
preserve_missing,5,0.01,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16002424967176768,0.8399757503282324,0.8397346654655639,0.012558918806191227,0.017447964638274943,2,23,0.00017867604958854422,ok,
preserve_missing,5,0.01,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16002424967176754,0.8399757503282325,0.8397346654655639,0.012558918806191532,0.017447964638274943,2,23,0.00017867604958909933,ok,
preserve_missing,5,0.03162277660168379,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.15584716515588815,0.8441528348441119,0.8422733600851691,0.03493893729976577,0.03124540910762802,2,23,0.00020113183218867237,ok,
preserve_missing,5,0.03162277660168379,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.15547616009348322,0.8445238399065168,0.8422733600851691,0.03497809910346508,0.03124540910762802,2,23,0.00021659285680911133,ok,
preserve_missing,5,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.1500426255018997,0.8499573744981003,0.8498075505691589,0.10241265648469328,0.18218980222087466,2,32,0.0,ok,
preserve_missing,5,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.14927683938234962,0.8507231606176504,0.8511178445663746,0.10220111086282072,0.14014173950630246,2,32,0.0,ok,
preserve_missing,6,0.001,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16667753005687747,0.8333224699431225,0.8343297027270494,0.005146863612235236,0.012194588415655877,2,20,2.7755575615628914e-17,ok,
preserve_missing,6,0.001,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16661227106613402,0.833387728933866,0.8344934894767013,0.005184207263544183,0.012695214197883664,2,20,8.326672684688674e-17,ok,
preserve_missing,6,0.0031622776601683794,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16592581433704595,0.8340741856629541,0.8344934894767013,0.007268600576871426,0.012695214197883664,2,20,1.1945999744966684e-13,ok,
preserve_missing,6,0.0031622776601683794,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16599743326229277,0.8340025667377072,0.8344115961018753,0.007374841093657242,0.012816927927192329,2,20,0.0,ok,
preserve_missing,6,0.01,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16356344878764956,0.8364365512123504,0.8366227172221767,0.01487113608940116,0.022955818677923845,2,20,0.0,ok,
preserve_missing,6,0.01,36631,12211,107,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16358070960268645,0.8364192903973136,0.8366227172221767,0.014817882558464252,0.022955818677923845,2,20,0.0003178092999963078,ok,
