Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.05,0.0,demographic_parity_difference,theil_index,0.71,0.01,0.02,0.2,1.0,0.231,True
0.05,0.0,demographic_parity_difference,generalized_entropy_index,0.71,0.01,0.05,0.2,0.99,0.232,True
0.05,0.0,demographic_parity_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.249,True
0.05,0.0,demographic_parity_difference,gini_coefficient,0.71,0.01,0.02,0.2,1.0,0.23,True
0.05,0.0,equalized_odds_difference,theil_index,0.71,0.01,0.05,0.2,0.99,0.375,True
0.05,0.0,equalized_odds_difference,generalized_entropy_index,0.7,0.0,0.0,0.21,,0.379,True
0.05,0.0,equalized_odds_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.379,True
0.05,0.0,equalized_odds_difference,gini_coefficient,0.71,0.01,0.02,0.2,1.0,0.379,True
0.05,0.0,equal_opportunity_difference,theil_index,0.71,0.01,0.02,0.2,1.0,0.287,True
0.05,0.0,equal_opportunity_difference,generalized_entropy_index,0.71,0.01,0.02,0.2,1.0,0.289,True
0.05,0.0,equal_opportunity_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.284,True
0.05,0.0,equal_opportunity_difference,gini_coefficient,0.71,0.01,0.05,0.2,0.99,0.29,True
0.05,0.0,disparate_impact_difference,theil_index,0.71,0.01,0.02,0.2,1.0,0.226,True
0.05,0.0,disparate_impact_difference,generalized_entropy_index,0.71,0.01,0.05,0.2,0.99,0.229,True
0.05,0.0,disparate_impact_difference,atkinson_index,0.71,0.01,0.05,0.2,0.99,0.224,True
0.05,0.0,disparate_impact_difference,gini_coefficient,0.71,0.01,0.02,0.2,1.0,0.229,True
0.05,0.005,demographic_parity_difference,theil_index,0.71,0.01,0.02,0.2,1.0,0.225,True
0.05,0.005,demographic_parity_difference,generalized_entropy_index,0.71,0.01,0.05,0.2,0.99,0.229,True
0.05,0.005,demographic_parity_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.229,True
0.05,0.005,demographic_parity_difference,gini_coefficient,0.71,0.01,0.02,0.2,1.0,0.231,True
0.05,0.005,equalized_odds_difference,theil_index,0.71,0.01,0.05,0.2,0.99,0.377,True
0.05,0.005,equalized_odds_difference,generalized_entropy_index,0.71,0.01,0.02,0.2,1.0,0.39,True
0.05,0.005,equalized_odds_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.386,True
0.05,0.005,equalized_odds_difference,gini_coefficient,0.71,0.01,0.04,0.2,0.99,0.384,True
0.05,0.005,equal_opportunity_difference,theil_index,0.71,0.01,0.02,0.2,1.0,0.29,True
0.05,0.005,equal_opportunity_difference,generalized_entropy_index,0.71,0.01,0.02,0.2,1.0,0.289,True
0.05,0.005,equal_opportunity_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.287,True
0.05,0.005,equal_opportunity_difference,gini_coefficient,0.71,0.01,0.05,0.2,0.99,0.292,True
0.05,0.005,disparate_impact_difference,theil_index,0.71,0.02,0.05,0.2,0.98,0.225,True
0.05,0.005,disparate_impact_difference,generalized_entropy_index,0.71,0.02,0.05,0.2,0.98,0.233,True
0.05,0.005,disparate_impact_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.225,True
0.05,0.005,disparate_impact_difference,gini_coefficient,0.71,0.01,0.02,0.2,1.0,0.229,True
0.05,0.05,demographic_parity_difference,theil_index,0.71,0.01,0.04,0.2,0.99,0.228,True
0.05,0.05,demographic_parity_difference,generalized_entropy_index,0.71,0.01,0.02,0.2,1.0,0.371,True
0.05,0.05,demographic_parity_difference,atkinson_index,0.72,0.02,0.07,0.19,0.98,0.248,True
0.05,0.05,demographic_parity_difference,gini_coefficient,0.71,0.01,0.05,0.2,0.99,0.239,True
0.05,0.05,equalized_odds_difference,theil_index,0.71,0.01,0.02,0.2,1.0,0.404,True
0.05,0.05,equalized_odds_difference,generalized_entropy_index,0.71,0.01,0.05,0.2,0.99,0.382,True
0.05,0.05,equalized_odds_difference,atkinson_index,0.7,0.0,0.0,0.21,,0.381,True
0.05,0.05,equalized_odds_difference,gini_coefficient,0.71,0.01,0.02,0.2,1.0,0.384,True
0.05,0.05,equal_opportunity_difference,theil_index,0.71,0.01,0.02,0.2,1.0,0.293,True
0.05,0.05,equal_opportunity_difference,generalized_entropy_index,0.71,0.01,0.02,0.2,1.0,0.291,True
0.05,0.05,equal_opportunity_difference,atkinson_index,0.71,0.01,0.02,0.2,1.0,0.292,True
0.05,0.05,equal_opportunity_difference,gini_coefficient,0.71,0.01,0.05,0.2,0.99,0.293,True
0.05,0.05,disparate_impact_difference,theil_index,0.72,0.02,0.07,0.19,0.98,0.232,True
0.05,0.05,disparate_impact_difference,generalized_entropy_index,0.71,0.01,0.05,0.2,0.99,0.24,True
