Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
MLP (64-64),mlp,0.5,0.75,7,0.7316,0.0278,0.0278,0.1023,0.1662,0.7642,0.0117,0.0895,0.7288,0.0449,0.2407,2.015,True
MLP (64-64),mlp,0.5,1.0,7,0.7193,0.014,0.014,0.0686,0.175,0.7673,0.0116,0.0909,0.7192,0.0462,0.2395,0.912,True
MLP (64-64),mlp,0.75,0.0,7,0.7365,0.2348,0.2348,0.1827,0.1578,0.7399,0.152,0.0861,0.7359,0.2904,0.263,1.467,True
MLP (64-64),mlp,0.75,0.005,7,0.737,0.2248,0.2248,0.1803,0.1582,0.7434,0.1466,0.0864,0.735,0.2829,0.2597,1.632,True
MLP (64-64),mlp,0.75,0.05,7,0.7341,0.1692,0.1692,0.1263,0.1574,0.7317,0.117,0.0851,0.7328,0.2305,0.2717,1.668,True
MLP (64-64),mlp,0.75,0.25,7,0.7308,0.0103,0.0103,0.0733,0.1634,0.7488,0.0005,0.0886,0.7335,0.0456,0.259,1.674,True
MLP (64-64),mlp,0.75,0.5,7,0.7313,0.024,0.024,0.0894,0.1588,0.7301,0.009,0.0862,0.729,0.0126,0.2779,2.008,True
MLP (64-64),mlp,0.75,0.75,7,0.7327,0.032,0.032,0.1097,0.1631,0.7531,0.0159,0.0887,0.7313,0.0187,0.2556,2.093,True
MLP (64-64),mlp,0.75,1.0,7,0.73,0.0427,0.0427,0.1239,0.1622,0.7414,0.0176,0.0873,0.7282,0.0102,0.2667,2.397,True
MLP (64-64),mlp,1.0,0.0,7,0.736,0.2286,0.2286,0.1915,0.1605,0.751,0.1513,0.088,0.7358,0.2953,0.2529,1.565,True
MLP (64-64),mlp,1.0,0.005,7,0.736,0.2286,0.2286,0.1915,0.1605,0.751,0.1513,0.088,0.7358,0.2953,0.2529,1.667,True
MLP (64-64),mlp,1.0,0.05,7,0.736,0.2286,0.2286,0.1915,0.1605,0.751,0.1513,0.088,0.7358,0.2953,0.2529,1.638,True
MLP (64-64),mlp,1.0,0.25,7,0.736,0.2286,0.2286,0.1915,0.1605,0.751,0.1513,0.088,0.7358,0.2953,0.2529,1.595,True
MLP (64-64),mlp,1.0,0.5,7,0.736,0.2286,0.2286,0.1915,0.1605,0.751,0.1513,0.088,0.7358,0.2953,0.2529,1.785,True
MLP (64-64),mlp,1.0,0.75,7,0.736,0.2286,0.2286,0.1915,0.1605,0.751,0.1513,0.088,0.7358,0.2953,0.2529,1.596,True
MLP (64-64),mlp,1.0,1.0,7,0.736,0.2286,0.2286,0.1915,0.1605,0.751,0.1513,0.088,0.7358,0.2953,0.2529,1.66,True
