Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.005,0.25,demographic_parity_difference,gini_coefficient,0.81,0.25,1.0,0.11,0.65,0.573,True
0.005,0.25,equalized_odds_difference,theil_index,0.79,0.22,1.0,0.12,0.68,1.227,True
0.005,0.25,equalized_odds_difference,generalized_entropy_index,0.83,0.29,1.0,0.09,0.61,1.218,True
0.005,0.25,equalized_odds_difference,atkinson_index,0.81,0.25,1.0,0.11,0.65,1.228,True
0.005,0.25,equalized_odds_difference,gini_coefficient,0.81,0.25,1.0,0.11,0.65,1.225,True
0.005,0.25,equal_opportunity_difference,theil_index,0.77,0.22,1.0,0.14,0.72,0.846,True
0.005,0.25,equal_opportunity_difference,generalized_entropy_index,0.8,0.23,1.0,0.12,0.67,0.842,True
0.005,0.25,equal_opportunity_difference,atkinson_index,0.75,0.35,0.61,0.16,0.75,0.851,True
0.005,0.25,equal_opportunity_difference,gini_coefficient,0.82,0.27,1.0,0.1,0.63,0.84,True
0.005,0.25,disparate_impact_difference,theil_index,0.82,0.27,1.0,0.1,0.63,0.57,True
0.005,0.25,disparate_impact_difference,generalized_entropy_index,0.8,0.24,1.0,0.12,0.66,0.574,True
0.005,0.25,disparate_impact_difference,atkinson_index,0.78,0.22,1.0,0.13,0.7,0.563,True
0.005,0.25,disparate_impact_difference,gini_coefficient,0.82,0.27,1.0,0.1,0.64,0.571,True
0.005,0.5,demographic_parity_difference,theil_index,0.83,0.29,1.0,0.09,0.61,0.566,True
0.005,0.5,demographic_parity_difference,generalized_entropy_index,0.81,0.26,1.0,0.11,0.65,0.59,True
0.005,0.5,demographic_parity_difference,atkinson_index,0.77,0.22,1.0,0.14,0.72,0.567,True
0.005,0.5,demographic_parity_difference,gini_coefficient,0.73,0.31,0.55,0.18,0.79,0.572,True
0.005,0.5,equalized_odds_difference,theil_index,0.71,0.28,0.49,0.2,0.81,1.21,True
0.005,0.5,equalized_odds_difference,generalized_entropy_index,0.82,0.27,1.0,0.1,0.63,1.225,True
0.005,0.5,equalized_odds_difference,atkinson_index,0.81,0.26,1.0,0.11,0.65,1.233,True
0.005,0.5,equalized_odds_difference,gini_coefficient,0.71,0.29,0.5,0.2,0.8,1.232,True
